,神奈川,神奈川,神奈川,神奈川
,横浜,横浜,横浜,横浜
年月日,最高気温(℃),最低気温(℃),最大風速(m/s),風向
2005/8/1,31.4,24.9,6,南
2005/8/2,30.1,24.6,5.5,南南東
2005/8/3,32.7,25.5,6.6,南西
2005/8/4,33.3,25.8,3.9,南西
2005/8/5,34.8,25.7,4.4,南西
2005/8/6,33.4,25.8,5.8,南西
2005/8/7,32.8,25.8,7,南南西
2005/8/8,32.2,25.3,5.7,南南東
2005/8/9,31.3,25.3,5.3,南南東
2005/8/10,31.1,25.7,4.5,東北東
2005/8/11,31.4,25.1,4.3,南西
2005/8/12,29.3,24.1,5.1,南南東
2005/8/13,30.7,23.9,5.8,北
2005/8/14,32.3,24.2,5.6,南西
2005/8/15,33.5,25.8,4.9,北北東
2005/8/16,28.3,24.4,5.4,東
2005/8/17,31.1,23.4,5.8,東
2005/8/18,31.9,24.8,6.8,南
2005/8/19,32.2,26.1,8.3,南西
2005/8/20,32.5,26,8.2,南南西
2005/8/21,30.9,26.2,8.3,南南西
2005/8/22,30.1,26.1,6.7,南南西
2005/8/23,32.2,22.2,7.2,南西
2005/8/24,27.7,22.2,4.8,東
2005/8/25,25.6,21.7,9,東南東
2005/8/26,33.1,23.8,13.2,北
2005/8/27,31.5,25.2,5.5,東
2005/8/28,28.2,22.9,6,北
2005/8/29,30.2,22.5,5.2,南西
2005/8/30,30.1,22.6,5.8,南南東
2005/8/31,27.4,22.9,4.3,北
2005/9/1,30.9,22.5,4.2,南
